account_id,account_name,industry,country,signup_date,referral_source,plan_tier_x,seats_x,is_trial,churn_flag,subscription_id,plan_tier_y,seats_y,mrr_amount,arr_amount,billing_frequency,auto_renew_flag,subscription_age_days,total_upgrades,total_downgrades,total_usage,average_usage,average_usage_duration,total_errors,beta_feature_usage,unique_features_used,total_support_tickets,average_resolution_time,average_first_response_time,average_satisfaction,escalation_count
A-f3ff05,Company_44,FinTech,IN,2024-07-06,other,Enterprise,2,False,False,S-180b6c,Basic,30,570,6840,monthly,True,640,1,0,15.0,7.5,2200.0,0.0,0.0,2.0,3.0,42.666666666666664,111.33333333333333,3.5,0.0
A-2d4502,Company_45,FinTech,IN,2024-04-29,event,Basic,7,False,False,S-71cb15,Enterprise,34,6766,81192,annual,True,630,2,0,7.0,7.0,1638.0,0.0,0.0,1.0,3.0,26.333333333333332,82.0,5.0,0.0
A-6a4e2d,Company_46,EdTech,UK,2023-04-07,partner,Pro,9,False,False,S-63e282,Pro,14,686,8232,annual,True,688,2,1,37.0,9.25,2198.5,0.0,0.0,4.0,2.0,18.5,141.0,4.5,1.0
A-eb7c38,Company_47,DevTools,AU,2024-02-25,organic,Enterprise,5,False,False,S-a76521,Basic,33,627,7524,annual,True,638,3,1,73.0,12.166666666666666,3013.6666666666665,3.0,0.0,6.0,5.0,22.4,67.4,4.333333333333333,0.0
A-c37601,Company_48,EdTech,US,2024-10-31,partner,Basic,6,True,False,S-eae806,Enterprise,54,10746,128952,monthly,False,612,0,0,68.0,8.5,2430.625,5.0,1.0,7.0,4.0,42.25,83.0,3.6666666666666665,0.0
A-3b5cd1,Company_49,FinTech,US,2023-09-12,event,Basic,13,True,False,S-fc3dcb,Enterprise,32,6368,76416,annual,True,618,2,1,68.0,11.333333333333334,3791.8333333333335,1.0,2.0,5.0,5.0,27.4,46.6,4.0,0.0
A-b2225d,Company_50,FinTech,US,2024-03-08,ads,Basic,47,False,True,S-380617,Basic,47,893,10716,annual,True,632,1,1,75.0,9.375,3342.375,1.0,1.0,8.0,2.0,42.0,38.0,3.0,0.0
A-94f8c9,Company_51,HealthTech,US,2024-03-29,other,Basic,13,False,False,S-1eb467,Enterprise,13,2587,31044,monthly,True,611,2,1,75.0,9.375,3398.0,0.0,0.0,8.0,3.0,47.333333333333336,87.66666666666667,5.0,0.0
A-02fac6,Company_52,FinTech,US,2023-04-06,event,Pro,22,False,False,S-a408fe,Pro,22,1078,12936,monthly,True,685,1,0,79.0,11.285714285714286,3279.714285714286,4.0,2.0,6.0,6.0,23.333333333333332,100.5,4.0,0.0
A-c1dfe1,Company_53,DevTools,DE,2023-08-07,ads,Pro,26,False,False,S-154918,Basic,26,494,5928,monthly,False,711,1,2,80.0,10.0,4598.375,9.0,0.0,8.0,3.0,50.333333333333336,93.66666666666667,4.0,0.0
A-32728c,Company_54,DevTools,US,2023-01-03,event,Pro,20,False,True,S-4757c8,Basic,42,798,9576,annual,True,716,1,0,30.0,10.0,2351.6666666666665,3.0,0.0,3.0,2.0,34.5,61.5,3.5,0.0
A-4c38bc,Company_55,HealthTech,UK,2024-03-09,event,Basic,36,False,True,S-9a7851,Pro,36,1764,21168,annual,True,615,2,0,70.0,11.666666666666666,3380.1666666666665,0.0,1.0,5.0,3.0,48.333333333333336,43.0,3.5,0.0
A-1b707d,Company_56,Cybersecurity,US,2023-07-14,organic,Enterprise,1,False,False,S-47985c,Basic,2,0,0,annual,False,615,1,0,21.0,10.5,3577.0,0.0,0.0,2.0,3.0,42.666666666666664,75.33333333333333,,0.0
A-6f8ad2,Company_57,EdTech,IN,2024-07-09,organic,Basic,1,False,False,S-aa5012,Basic,41,779,9348,annual,False,611,2,1,50.0,12.5,1627.5,7.0,2.0,4.0,4.0,35.25,37.25,4.333333333333333,0.0
A-4d1e75,Company_58,DevTools,US,2024-08-21,other,Basic,20,False,False,S-8dd1cf,Basic,20,380,4560,monthly,False,625,3,1,55.0,11.0,2772.2,2.0,1.0,5.0,2.0,15.0,98.5,4.0,0.0
A-9ee962,Company_59,HealthTech,US,2023-02-28,ads,Basic,9,False,True,S-0ce88b,Basic,9,171,2052,annual,True,777,3,1,24.0,8.0,2455.3333333333335,2.0,1.0,3.0,3.0,37.0,69.66666666666667,4.0,0.0
A-378b99,Company_60,EdTech,UK,2024-09-01,ads,Pro,8,True,False,S-4b9d7c,Pro,16,784,9408,annual,True,637,1,1,70.0,10.0,3727.5714285714284,1.0,1.0,7.0,6.0,28.5,78.83333333333333,4.5,0.0
A-94d3da,Company_61,HealthTech,US,2023-05-03,other,Basic,41,False,False,S-244df8,Basic,41,779,9348,monthly,True,675,1,0,27.0,9.0,4036.0,1.0,0.0,3.0,6.0,26.833333333333332,80.5,3.5,0.0
A-e351e1,Company_62,EdTech,US,2024-09-26,other,Enterprise,33,False,False,S-0509b8,Basic,33,627,7524,annual,True,616,0,0,66.0,11.0,3634.0,2.0,0.0,6.0,4.0,17.0,65.25,3.75,0.0
A-9badbd,Company_63,Cybersecurity,DE,2024-06-19,ads,Enterprise,5,True,False,S-c41762,Enterprise,59,11741,140892,monthly,True,621,0,0,59.0,11.8,3404.4,3.0,0.0,5.0,5.0,30.2,102.6,5.0,0.0
A-7e0a10,Company_64,FinTech,US,2023-11-18,ads,Enterprise,46,False,False,S-f030d4,Enterprise,70,13930,167160,annual,True,612,1,0,87.0,9.666666666666666,4024.777777777778,3.0,0.0,8.0,5.0,39.4,62.6,4.0,0.0
A-118d55,Company_65,Cybersecurity,US,2024-10-22,organic,Basic,8,False,False,S-7452a4,Enterprise,29,5771,69252,monthly,True,612,3,4,46.0,9.2,2305.4,6.0,0.0,5.0,5.0,24.2,56.8,4.333333333333333,0.0
A-526d93,Company_66,HealthTech,FR,2024-04-14,organic,Basic,43,False,False,S-c2a14b,Enterprise,43,8557,102684,annual,False,664,2,0,44.0,11.0,3659.0,1.0,1.0,4.0,5.0,51.4,134.6,3.5,1.0
A-f92792,Company_67,FinTech,US,2024-07-04,ads,Pro,1,False,False,S-c61dc9,Basic,19,361,4332,annual,False,627,1,1,27.0,9.0,1766.0,0.0,0.0,3.0,2.0,45.0,82.0,4.0,0.0
A-84ebe4,Company_68,FinTech,US,2023-03-12,ads,Pro,18,True,True,S-6bb2c5,Enterprise,36,7164,85968,monthly,True,654,0,0,52.0,10.4,1779.6,4.0,1.0,4.0,4.0,29.5,135.5,4.0,0.0
A-5b4ebb,Company_69,Cybersecurity,UK,2024-07-10,other,Basic,21,True,True,S-0c9fdd,Pro,30,1470,17640,annual,True,626,1,0,58.0,11.6,2678.8,2.0,0.0,5.0,5.0,35.4,63.0,4.75,0.0
A-2922b6,Company_70,HealthTech,US,2024-11-14,organic,Basic,15,False,False,S-8dfd77,Pro,20,980,11760,annual,False,617,1,0,65.0,10.833333333333334,4075.5,2.0,0.0,6.0,2.0,15.5,103.0,4.0,0.0
A-9b9fe9,Company_71,EdTech,AU,2023-09-28,other,Basic,5,False,False,S-7bd2d7,Enterprise,50,9950,119400,monthly,True,644,0,1,39.0,9.75,3167.0,5.0,0.0,4.0,4.0,33.5,156.5,4.0,0.0
A-a8b49c,Company_72,Cybersecurity,UK,2023-10-06,partner,Basic,7,False,False,S-fbc35d,Pro,7,343,4116,annual,True,686,1,0,48.0,12.0,3868.0,10.0,1.0,4.0,1.0,72.0,105.0,4.0,0.0
A-9174e0,Company_73,Cybersecurity,US,2024-12-04,partner,Basic,37,False,False,S-92afb8,Enterprise,37,7363,88356,annual,True,614,2,0,122.0,11.090909090909092,3389.090909090909,10.0,0.0,10.0,2.0,39.0,167.0,5.0,0.0
A-a1bbb6,Company_74,DevTools,CA,2023-04-05,organic,Basic,1,False,False,S-37dc91,Pro,15,0,0,annual,True,699,0,0,20.0,10.0,4772.0,0.0,0.0,2.0,3.0,17.666666666666668,120.66666666666667,4.0,0.0
A-c45b23,Company_75,FinTech,UK,2023-12-08,partner,Basic,5,False,False,S-2361ec,Enterprise,26,5174,62088,annual,True,630,0,0,21.0,10.5,3801.0,1.0,1.0,2.0,3.0,36.666666666666664,51.666666666666664,3.0,0.0
A-02cd81,Company_76,HealthTech,IN,2024-03-28,other,Basic,44,False,False,S-4da459,Pro,44,2156,25872,annual,True,613,0,0,47.0,11.75,4733.0,0.0,0.0,3.0,3.0,17.333333333333332,84.66666666666667,4.5,1.0
A-ee42db,Company_77,EdTech,DE,2023-04-25,ads,Enterprise,13,False,False,S-3c9a70,Basic,30,570,6840,monthly,True,620,1,1,34.0,11.333333333333334,1715.3333333333333,4.0,0.0,3.0,4.0,33.75,98.25,3.0,0.0
A-432483,Company_78,Cybersecurity,US,2023-02-06,ads,Pro,4,False,False,S-6cdfb7,Pro,31,1519,18228,annual,True,643,1,0,35.0,11.666666666666666,2619.0,3.0,1.0,3.0,1.0,51.0,128.0,,0.0
A-9208f0,Company_79,EdTech,US,2023-05-11,organic,Pro,1,False,True,S-e5fdf9,Basic,17,0,0,annual,True,755,1,0,25.0,8.333333333333334,2178.0,3.0,0.0,3.0,8.0,41.25,59.75,3.3333333333333335,1.0
A-98a59a,Company_80,FinTech,UK,2023-08-04,partner,Enterprise,56,False,False,S-de3170,Pro,56,2744,32928,annual,True,676,2,1,43.0,10.75,1574.75,2.0,0.0,4.0,3.0,37.333333333333336,74.0,4.5,0.0
A-fe79a5,Company_81,HealthTech,IN,2024-02-21,ads,Basic,9,True,False,S-9bd0ec,Enterprise,9,1791,21492,annual,True,616,2,0,9.0,9.0,4455.0,0.0,0.0,1.0,4.0,28.5,61.0,5.0,0.0
A-726cfa,Company_82,DevTools,US,2023-07-01,partner,Pro,11,False,False,S-fa0d9e,Enterprise,38,7562,90744,monthly,False,626,2,0,52.0,8.666666666666666,3803.0,0.0,1.0,6.0,3.0,35.666666666666664,128.33333333333334,4.0,0.0
A-c43359,Company_83,FinTech,US,2024-11-16,organic,Pro,38,False,False,S-eec041,Basic,38,722,8664,monthly,True,620,2,1,26.0,8.666666666666666,3884.6666666666665,2.0,0.0,3.0,3.0,26.666666666666668,107.33333333333333,4.0,0.0
A-271f46,Company_84,DevTools,US,2023-02-09,event,Pro,38,False,True,S-3da8ee,Enterprise,46,9154,109848,monthly,True,650,0,0,69.0,9.857142857142858,3157.0,3.0,0.0,7.0,1.0,36.0,79.0,,0.0
A-157070,Company_85,FinTech,US,2023-11-09,ads,Pro,16,False,False,S-7a9d40,Basic,38,722,8664,annual,True,624,2,1,18.0,9.0,2794.5,1.0,0.0,2.0,3.0,42.333333333333336,118.0,3.0,1.0
A-40a557,Company_86,Cybersecurity,AU,2023-12-03,partner,Pro,16,True,False,S-12a13c,Enterprise,16,3184,38208,monthly,True,628,1,0,46.0,11.5,2711.5,4.0,0.0,4.0,7.0,30.571428571428573,94.71428571428571,3.6666666666666665,0.0
A-66224b,Company_87,HealthTech,US,2024-10-18,other,Pro,92,True,False,S-d859b7,Enterprise,92,0,0,annual,True,612,0,0,54.0,10.8,2883.6,0.0,2.0,5.0,6.0,39.833333333333336,82.5,3.5,0.0
A-91e948,Company_88,EdTech,AU,2023-01-29,partner,Basic,41,False,False,S-683e1e,Enterprise,41,8159,97908,monthly,True,663,2,0,25.0,12.5,2410.5,1.0,0.0,2.0,,,,,
A-104f1a,Company_89,Cybersecurity,US,2024-08-17,other,Pro,24,False,False,S-2dad6b,Basic,34,646,7752,monthly,True,622,0,0,31.0,10.333333333333334,4659.333333333333,2.0,0.0,3.0,5.0,33.2,50.4,3.75,1.0
A-7988d1,Company_90,Cybersecurity,US,2023-12-20,other,Basic,33,False,False,S-891ad9,Basic,33,0,0,monthly,True,639,0,0,21.0,10.5,3150.0,0.0,0.0,2.0,3.0,35.333333333333336,65.33333333333333,4.333333333333333,0.0
A-faa28c,Company_91,HealthTech,US,2024-01-30,organic,Enterprise,48,False,False,S-92dbcc,Pro,48,2352,28224,monthly,True,617,3,0,42.0,8.4,3351.6,2.0,0.0,5.0,4.0,52.25,115.5,4.666666666666667,1.0
A-f25509,Company_92,EdTech,US,2024-03-22,other,Enterprise,32,False,False,S-f316d5,Basic,57,1083,12996,annual,True,616,0,1,27.0,9.0,3336.3333333333335,1.0,0.0,2.0,6.0,42.666666666666664,116.0,4.666666666666667,0.0
A-3a7284,Company_93,FinTech,US,2024-11-17,organic,Enterprise,31,False,False,S-7be036,Pro,31,1519,18228,annual,True,614,1,2,35.0,11.666666666666666,2752.0,2.0,0.0,3.0,3.0,56.333333333333336,104.33333333333333,3.5,0.0
A-3a5ad8,Company_94,HealthTech,US,2023-12-05,organic,Enterprise,9,True,False,S-79a9e1,Enterprise,22,0,0,annual,True,617,1,1,14.0,7.0,2018.0,0.0,0.0,2.0,4.0,44.75,53.5,4.5,0.0
A-65a46c,Company_95,HealthTech,US,2023-11-04,event,Pro,1,False,False,S-21bd9b,Pro,35,1715,20580,annual,True,618,2,0,69.0,9.857142857142858,3796.714285714286,4.0,3.0,5.0,8.0,45.125,91.125,4.0,0.0
A-8b25f2,Company_96,Cybersecurity,US,2024-02-17,ads,Pro,6,False,True,S-f5ce8e,Enterprise,13,2587,31044,monthly,True,627,1,2,12.0,12.0,3108.0,0.0,0.0,1.0,2.0,35.5,50.5,4.0,0.0
A-fabe19,Company_97,DevTools,UK,2024-11-11,ads,Enterprise,1,False,False,S-e0a4c5,Enterprise,1,0,0,monthly,False,616,2,0,53.0,10.6,3976.0,1.0,0.0,5.0,3.0,40.666666666666664,38.333333333333336,4.0,0.0
A-adc1f3,Company_98,Cybersecurity,US,2024-08-05,organic,Pro,2,False,False,S-b821f4,Enterprise,5,995,11940,monthly,True,621,0,0,27.0,9.0,3460.3333333333335,4.0,1.0,3.0,3.0,47.333333333333336,65.0,3.5,0.0
A-503d5a,Company_99,FinTech,US,2023-10-21,other,Enterprise,4,False,True,S-88338a,Enterprise,56,11144,133728,annual,False,623,0,1,9.0,9.0,4653.0,0.0,0.0,1.0,9.0,36.55555555555556,81.77777777777777,4.0,0.0
A-fd7ad3,Company_100,Cybersecurity,US,2024-11-01,event,Enterprise,1,False,False,S-4f43fd,Basic,29,551,6612,monthly,True,616,2,0,63.0,10.5,4075.3333333333335,4.0,2.0,6.0,8.0,48.75,98.125,4.166666666666667,1.0
A-186a44,Company_101,HealthTech,US,2023-08-07,ads,Enterprise,20,False,False,S-450fa9,Basic,20,380,4560,monthly,False,625,1,1,83.0,10.375,4306.625,2.0,1.0,6.0,7.0,38.285714285714285,110.42857142857143,3.5,0.0
A-e888d1,Company_102,Cybersecurity,US,2023-03-28,other,Pro,14,False,False,S-80c296,Pro,17,833,9996,monthly,True,623,1,0,21.0,7.0,2529.6666666666665,8.0,0.0,3.0,5.0,43.0,104.0,4.0,1.0
A-69fad4,Company_103,FinTech,UK,2023-04-06,ads,Basic,6,False,True,S-e0179e,Pro,13,0,0,monthly,True,893,0,0,95.0,10.555555555555555,2902.0,8.0,0.0,8.0,4.0,43.0,116.75,3.6666666666666665,0.0
A-9289f6,Company_104,EdTech,US,2023-05-31,event,Enterprise,1,False,False,S-b81c82,Pro,25,1225,14700,annual,False,625,2,0,30.0,10.0,3493.6666666666665,2.0,0.0,3.0,6.0,37.5,70.0,4.333333333333333,0.0
A-f19409,Company_105,DevTools,US,2023-03-16,other,Basic,23,False,True,S-2e55e6,Basic,35,665,7980,annual,False,622,2,0,50.0,10.0,4247.2,2.0,0.0,4.0,3.0,6.333333333333333,103.33333333333333,4.0,0.0
A-22f2df,Company_106,DevTools,US,2024-12-14,ads,Basic,3,False,False,S-47cfb3,Basic,11,209,2508,annual,True,612,1,1,81.0,10.125,3162.375,3.0,2.0,6.0,5.0,44.8,71.6,5.0,0.0
A-039727,Company_107,EdTech,AU,2024-11-02,organic,Pro,25,False,False,S-e6a17a,Enterprise,25,4975,59700,annual,True,623,3,2,75.0,10.714285714285714,3836.714285714286,2.0,0.0,7.0,,,,,
A-2e3bad,Company_108,FinTech,CA,2023-08-13,other,Pro,61,False,False,S-3bd427,Basic,61,1159,13908,monthly,True,638,0,0,29.0,7.25,2069.25,0.0,0.0,4.0,5.0,31.4,107.0,3.5,0.0
A-484819,Company_109,HealthTech,US,2023-02-21,organic,Pro,18,False,False,S-ac8fd3,Enterprise,18,3582,42984,monthly,True,659,3,0,35.0,8.75,3484.75,3.0,2.0,4.0,5.0,33.2,139.6,4.5,0.0
A-425e76,Company_110,DevTools,UK,2023-05-17,other,Enterprise,8,False,True,S-18b808,Enterprise,9,1791,21492,annual,True,751,1,0,24.0,8.0,2400.0,6.0,0.0,3.0,5.0,48.2,119.2,3.3333333333333335,1.0
